Topic,Keywords
0,"research, lack, blame, faster, marine"
1,"go, hope, thousand, dry, type"
2,"science, protect, rich, republican, order"
3,"climate, change, real, believe, feel"
4,"climate, change, event, heat, extreme"
5,"fuel, fossil, industry, stop, company"
6,"back, call, family, via, break"
7,"development, love, working, free, sustainable"
8,"since, often, hot, despite, ok"
9,"stay, consequence, calling, following, bear"
10,"help, http, big, u, climate"
11,"got, food, business, enough, sustainable"
12,"plastic, storage, major, pollution, benefit"
13,"life, planet, human, house, right"
14,"weather, home, housing, control, early"
15,"climate, change, reality, yeah, oh"
16,"build, plant, program, sign, push"
17,"due, nation, true, climate, analysis"
18,"pay, market, threat, term, fund"
19,"insurance, guess, site, company, sell"
20,"health, care, anything, social, increase"
21,"week, generation, past, happen, per"
22,"climate, change, talk, denier, taking"
23,"role, region, university, significant, play"
24,"climatechange, info, ecosearch, climate, change"
25,"cut, already, fight, etc, infrastructure"
26,"earth, used, international, leading, produce"
27,"away, though, art, watch, mostly"
28,"law, sea, north, citizen, expansion"
29,"rate, climate, change, worst, amazon"
30,"economy, run, set, standard, went"
31,"production, funding, opportunity, red, personal"
32,"nothing, seems, move, based, folk"
33,"car, shift, came, agenda, ending"
34,"using, massive, approach, planning, accelerating"
35,"whole, force, side, process, hear"
36,"oil, drilling, gas, price, trump"
37,"may, finding, methane, whatever, release"
38,"climate, important, change, increasing, biggest"
39,"always, maybe, full, na, wonder"
40,"climate, yes, change, deforestation, nature"
41,"year, day, every, time, last"
42,"water, use, resource, ecosystem, corporate"
43,"solar, energy, wind, power, panel"
44,"lot, next, little, coming, guy"
45,"could, cost, source, instead, would"
46,"good, uk, news, bad, climate"
47,"thing, something, change, climate, actually"
48,"climate, said, change, forward, talking"
49,"many, money, cause, people, climate"
50,"mean, climate, party, change, drill"
51,"climate, change, issue, crisis, article"
52,"denial, latest, drive, bring, paper"
53,"come, climate, change, pretty, politician"
54,"environmental, far, growth, economic, effort"
55,"australia, higher, healthcare, found, history"
56,"climate, change, scientist, war, expert"
57,"see, ca, find, old, light"
58,"get, epa, gop, remember, corporation"
59,"across, electric, huge, vehicle, sun"
60,"think, never, start, live, trying"
61,"system, data, join, month, center"
62,"environment, less, ev, eye, positive"
63,"solution, better, carbon, reduce, technology"
64,"climate, change, risk, study, fact"
65,"billion, fucking, subsidy, lol, room"
66,"company, group, agree, consumption, according"
67,"make, look, profit, sense, tool"
68,"still, everyone, idea, yet, greenwashing"
69,"save, un, wave, passed, union"
70,"fire, climate, change, point, post"
71,"coal, mining, america, innovation, able"
72,"level, interest, act, record, temperature"
73,"current, large, within, meeting, happened"
74,"two, challenge, thought, key, longer"
75,"community, local, place, face, rule"
76,"climate, report, change, effect, canada"
77,"end, worse, everything, become, please"
78,"drought, entire, greed, discus, responsibility"
79,"ai, sustainable, sector, create, security"
80,"ever, best, supply, question, tree"
81,"pollution, air, city, show, focus"
82,"want, climate, change, put, political"
83,"high, least, book, saying, kid"
84,"sure, demand, job, lead, needed"
85,"must, china, together, buy, concern"
86,"without, space, road, completely, sustainable"
87,"problem, kind, thanks, climate, link"
88,"global, warming, course, ice, half"
89,"green, deal, new, matter, vote"
90,"emission, state, gas, greenhouse, administration"
91,"power, nuclear, million, capitalism, u"
92,"damage, leave, late, new, trust"
93,"give, kill, try, reform, mind"
94,"eu, europe, trade, responsible, win"
95,"fracking, address, single, voter, fall"
96,"plan, building, leader, farm, service"
97,"american, land, another, national, federal"
98,"around, lost, texas, south, killing"
99,"energy, clean, renewable, green, bill"
