Topic,Keywords
0,"colorado, add, name, customer, bank, dog, speaker, reality, fortunately, missing"
1,"ocean, marine, offshore, sea, life, beach, coast, vibrant, protect, childcare"
2,"thank, see, check, video, watch, new, http, truth, full, website"
3,"sign, read, http, petition, article, toxic, hill, today, full, aid"
4,"forest, conservation, protect, specie, role, nature, habitat, play, ecosystem, crucial"
5,"investing, created, buying, fast, break, easy, switch, promise, tackle, cycle"
6,"member, michigan, great, lake, signing, propane, http, landscape, chamber, serve"
7,"federal, billion, funding, government, dollar, fund, money, million, budget, spending"
8,"district, safety, august, advocate, primary, bus, professional, wilson, public, game"
9,"deliver, running, others, wednesday, china, true, payment, rock, southern, loved"
10,"action, take, planet, make, today, impact, help, difference, taking, future"
11,"congress, director, executive, episode, behind, listen, podcast, asking, burning, threatens"
12,"join, u, event, free, learn, register, pm, http, july, talk"
13,"plastic, waste, food, product, sustainable, recycling, choice, made, garden, daily"
14,"could, news, say, going, think, coal, may, mean, looking, politician"
15,"nation, america, security, national, united, country, emergency, critical, response, resource"
16,"county, resident, town, plan, public, board, planning, commissioner, service, commission"
17,"state, house, senate, representative, bill, committee, insurance, white, endorsed, passed"
18,"value, property, james, poll, photo, outside, fishing, focusing, leave, color"
19,"technology, solution, innovation, drive, global, transportation, challenge, innovative, transit, driving"
20,"sustainable, development, global, approach, economic, policy, challenge, growth, solution, leader"
21,"live, friend, http, please, light, june, day, volunteer, street, info"
22,"park, minnesota, valley, utah, hike, recently, trail, chris, feeling, secretary"
23,"production, income, total, operation, wealth, stage, percent, imagine, highest, countless"
24,"also, state, issue, policy, including, would, law, political, current, must"
25,"love, experience, journey, bring, heart, enjoy, course, hear, time, perfect"
26,"people, like, make, know, one, life, thing, work, need, right"
27,"less, demand, fact, lose, without, common, record, soaring, factory, u"
28,"protecting, ohio, environment, healthier, committed, turn, choose, wild, cleaner, store"
29,"nuclear, company, market, ai, tech, strategy, stock, investor, nebraska, technology"
30,"climate, change, action, fight, join, crisis, movement, u, people, solution"
31,"business, small, career, initiative, local, community, impact, backing, positive, opportunity"
32,"story, medium, social, conversation, series, mind, peace, human, ceo, nicole"
33,"republican, deserve, hundred, democratic, democrat, enough, democracy, majority, legislature, people"
34,"leader, grant, young, supply, training, apply, chain, wait, copper, turned"
35,"discover, open, political, voter, progressive, film, veteran, today, door, art"
36,"believe, person, one, year, answer, kind, led, began, ago, bond"
37,"world, woman, earth, tree, around, day, biodiversity, powerful, native, global"
38,"governor, legacy, red, heritage, port, pas, dakota, eligible, cultural, honor"
39,"month, conservative, brings, welcome, hope, april, session, point, shelter, legislative"
40,"vote, keep, tell, utility, safe, legislator, washington, yes, lawmaker, protect"
41,"line, illinois, urge, speak, contact, sale, 𝐭𝐨, show, late, 𝐭𝐡𝐞"
42,"weather, climate, extreme, flood, rising, disaster, hurricane, change, temperature, heat"
43,"year, last, long, florida, one, time, get, even, still, getting"
44,"generation, come, next, good, already, pennsylvania, southeast, free, tip, beautiful"
45,"team, work, helped, decision, bipartisan, court, historic, engineering, year, case"
46,"animal, food, mental, population, modern, santa, essential, many, gop, body"
47,"book, comment, congressman, club, question, announced, able, author, sierra, submit"
48,"act, california, reduction, inflation, wildfire, thanks, ira, drought, californian, state"
49,"land, public, wildlife, million, acre, outdoor, voted, protection, protect, drilling"
50,"president, trump, biden, harris, donald, kamala, joe, vice, administration, drilling"
51,"family, community, care, child, access, healthcare, need, life, jersey, freedom"
52,"support, encourage, fair, thrive, online, class, guide, supported, middle, deserves"
53,"trump, administration, protection, agenda, epa, attack, defend, agency, back, office"
54,"fire, result, brought, yet, direct, foot, protein, military, would, example"
55,"matter, leading, charge, little, look, jim, con, talking, wave, extra"
56,"american, policy, economy, worker, invest, risk, bold, everyday, thousand, foreign"
57,"arizona, done, crop, within, provides, farmland, installation, structure, built, delivers"
58,"group, ca, association, john, law, organization, view, gov, workforce, priority"
59,"science, research, university, expert, scientist, explore, impact, environmental, conference, study"
60,"north, south, carolina, mountain, organic, expand, promote, regenerative, neighborhood, traffic"
61,"link, bio, click, alliance, africa, household, learn, afford, corner, african"
62,"future, community, sustainable, together, build, building, work, let, better, create"
63,"project, local, community, infrastructure, support, million, county, funding, benefit, wisconsin"
64,"carbon, emission, sustainability, reduce, sustainable, reducing, footprint, greener, environmental, greenhouse"
65,"union, car, bay, labor, help, prevent, near, solve, repair, avoid"
66,"new, would, york, said, facility, proposed, two, year, landfill, company"
67,"air, save, clean, pollution, upgrade, help, san, quality, healthy, improve"
68,"important, report, youth, boost, balance, blue, central, survey, changing, increasing"
69,"week, receive, tool, monthly, joined, free, action, department, every, stake"
70,"farm, farmer, rural, agriculture, food, farming, agricultural, land, soil, practice"
71,"school, education, student, teacher, endorsement, learning, college, senior, public, success"
72,"find, send, message, oregon, flooding, email, lot, fall, information, take"
73,"green, manufacturing, material, new, construction, urban, bird, bright, greater, building"
74,"cost, price, rate, increase, bill, high, expensive, pay, consumer, georgia"
75,"nevada, efficiency, discussion, workshop, webinar, excited, october, indiana, announce, upcoming"
76,"gas, oil, natural, industry, methane, roof, coal, ton, planting, hand"
77,"justice, environmental, indigenous, mexico, people, right, moment, amazon, champion, advocate"
78,"system, smart, sustainable, toward, offer, hydrogen, efficient, like, way, shift"
79,"river, alaska, spring, fish, mining, tourism, mine, study, expected, participant"
80,"solar, energy, panel, homeowner, saving, power, go, sun, save, cost"
81,"home, electric, program, must, incentive, maine, vehicle, new, zip, bill"
