cluster,size
61,1169
24,409
81,392
43,276
77,238
83,219
13,217
71,179
41,175
84,165
37,164
21,145
5,136
48,130
28,128
30,128
29,127
6,125
19,124
49,121
90,115
68,105
64,103
32,103
82,103
79,89
53,87
59,87
17,86
56,81
46,80
2,79
62,77
69,72
50,71
1,70
85,66
0,66
65,65
63,65
95,63
36,63
11,61
31,60
96,58
75,55
94,55
76,55
34,52
54,50
89,50
4,49
35,49
93,47
57,47
60,44
73,42
45,41
66,40
10,40
70,38
15,36
42,36
39,35
7,34
38,34
26,34
86,33
72,33
14,32
74,32
40,30
33,30
88,29
20,29
80,29
78,28
44,28
25,27
3,27
16,26
87,26
67,26
27,25
23,25
18,24
8,22
9,21
55,21
91,21
92,21
47,21
58,21
51,20
12,20
22,20
52,20
