cluster,topk_rank,ad_archive_id,probability,page_name,ad_creative_bodies
0,1,1911227053006186,1.0,TopicMix,Soluciones de energía limpia con compañías de paneles solares en Estados Unidos para hogares y negocios.
0,2,1012178610285941,1.0,US Green Programs,"🛑 𝐍𝐨 𝐏𝐚𝐠𝐮𝐞 𝐏𝐨𝐫 𝐏𝐚𝐧𝐞𝐥𝐞𝐬 𝐒𝐨𝐥𝐚𝐫𝐞𝐬 🛑

Joe Biden firmó el nuevo proyecto de ley 𝑺𝒐𝒍𝒂𝒓 𝑷𝒂𝒓𝒂 𝑻𝒐𝒅𝒐𝒔 y asignó $7 billones de dólares para que propietarios de vivienda en Arizona puedan colocar paneles solares y batería Tesla sin costo de instalación.

💸 Ahorre hasta $400 mensuales en gastos eléctricos y descubra si su casa califica para recibir pagos adicionales por el exceso de energía que produzca.

Para solicitar esta asistencia, haga clic en el botón de esta publicación.,🛑 𝐍𝐨 𝐏𝐚𝐠𝐮𝐞 𝐏𝐨𝐫 𝐏𝐚𝐧𝐞𝐥𝐞𝐬 𝐒𝐨𝐥𝐚𝐫𝐞𝐬 🛑

Joe Biden firmó el nuevo proyecto de ley 𝑺𝒐𝒍𝒂𝒓 𝑷𝒂𝒓𝒂 𝑻𝒐𝒅𝒐𝒔 y asignó $7 billones de dólares para que propietarios de vivienda en Arizona puedan colocar paneles solares y batería Tesla sin costo de instalación.

💸 Ahorre hasta $400 mensuales en gastos eléctricos y descubra si su casa califica para recibir pagos adicionales por el exceso de energía que produzca.

Para solicitar esta asistencia, haga clic en el botón de esta publicación."
0,3,1287004673220368,1.0,Chispa Nevada,"Ya se acaba el tiempo para aprovechar los créditos fiscales para vehículos eléctricos, paneles solares en techos, aislamiento de viviendas, electrodomésticos eficientes y mucho más. Obtén más información sobre cómo aprovechar estos reembolsos y ahorrar dinero en tu factura de electricidad.,Ya se acaba el tiempo para aprovechar los créditos fiscales para vehículos eléctricos, paneles solares en techos, aislamiento de viviendas, electrodomésticos eficientes y mucho más. Obtén más información sobre cómo aprovechar estos reembolsos y ahorrar dinero en tu factura de electricidad.,Ya se acaba el tiempo para aprovechar los créditos fiscales para vehículos eléctricos, paneles solares en techos, aislamiento de viviendas, electrodomésticos eficientes y mucho más. Obtén más información sobre cómo aprovechar estos reembolsos y ahorrar dinero en tu factura de electricidad."
0,4,1420641855904595,1.0,COPAL MN,"🗣️¡SU VOZ IMPORTA! Comparta su historia y si es elegida reciba $50. Cuéntenos sobre facturas altas de electricidad o gas, auditorías energéticas, paneles solares, vehículos o estufas eléctricas, asma, alergias o calor extremo, migración por clima o desastres, o cualquier otro tema relacionado. ¡Queremos escuchar su experiencia! Siga el enlace y cuentenos. ℹ️ Válido hasta agotar fondos disponibles.

🗣️YOUR VOICE MATTERS! Share your story and, if selected, receive $50. Tell us about high electricity or gas bills, energy audits, solar panels, electric vehicles or stoves, asthma, allergies or extreme heat, climate- or disaster-related migration, or any other related topic. We want to hear your experience! Follow the link and tell us. ℹ️ Valid, while supplies last

🔗 https://forms.gle/MLK2vVeWTmGvTdc5A"
0,5,594381217032037,1.0,Chispa Nevada,"⚠️ ¡Firma YA para evitar que suba tu recibo de luz! ⚠️

NV Energy quiere subir otra vez nuestras tarifas—esta vez piden 216 millones de dólares más en ganancias (¡el doble que la vez pasada!) y un retorno garantizado del 10.25%, además de nuevos y confusos cargos diarios por demanda. 😡

🔌 ¿Qué significa esto para ti?

💸 Tu factura subiría casi un 10% al mes — unos $15 más
⏱️ Pagarías no solo por cuánta energía usas, sino cuándo la usas
🌞 Si tienes paneles solares, recibirías menos créditos por la energía que generas

📢 ¡Firma la petición y dile a la Comisión de Servicios Públicos que pare estos aumentos injustos! 🚫📈

👉 https://secure.everyaction.com/GzQlIi2ac0elE8C2Ab7UpQ2

#NoMásAumentos #NVenergy #EnergíaJusta #DeténElAumento

--------------------------------

🚨 Sign NOW to stop your power bill from going up! 🚨

NV Energy is once again trying to raise our utility rates—this time asking for $216 million more in profits (double what they asked for last time!) and a guaranteed 10.25% return on equity. Plus, they want to add confusing “daily demand charges.”

❌ What this means for YOU:
⚡ Your bill could go up nearly 10%—that’s around $15 more each month
⏰ You’ll pay not just for how much electricity you use, but when you use it
🌞 If you have rooftop solar, you’ll get fewer credits for your clean energy

📣 We must speak up! Sign the petition and tell the Public Utilities Commission:
STOP these unfair rate hikes! ✍️🚫📈

👉 https://secure.everyaction.com/GzQlIi2ac0elE8C2Ab7UpQ2

#NoRateHike #NVEnergy #NevadaDeservesBetter #CleanEnergy #StopTheHike"
1,1,9411672535602950,1.0,Miami's Community Newspapers,"Robert Ruano joins Michael Miller for a conversation about local and state grant programs. They discuss how these funding opportunities can support various projects and initiatives, and what individuals and organizations should know when exploring them.

For more shows, go to: www.communitynewspapers.com/cnewstv

ABOUT US:

Miami Community Newspapers is your go-to source for Miami community news, offering daily updates, podcasts, and multimedia content. Covering local events, business updates, and lifestyle features across Miami-Dade County, our family-owned media company publishes a variety of neighborhood publications both online and in print. Explore Miami’s culture through our exclusive community podcasts, magazines, and newsletters.

#thatscommunitynews #communitynewspapers #miamidade #miamidadecounty #thatscommunity #miamicommunitynews #coralgables #palmettobay #southmiami #doral #aventura #pinecrest #kendall #brickell"
1,2,970323147908784,1.0,Miami's Community Newspapers,"Host Michael Miller speaks with Senator Rene Garcia, Miami-Dade County Commissioner, District 13

To learn more, visit:

For more shows, visit: communitynewspapers.com

ABOUT US:
Miami Community Newspapers is your go-to source for Miami community news, offering daily updates, podcasts, and multimedia content. Covering local events, business updates, and lifestyle features across Miami-Dade County, our family-owned media company publishes a variety of neighborhood publications both online and in print. Explore Miami’s culture through our exclusive community podcasts, magazines, and newsletters.

#thatscommunitynews #communitynewspapers #miamidade #miamidadecounty #thatscommunity #miamicommunitynews #coralgables #palmettobay #southmiami #doral #aventura #pinecrest #kendall #broward #biscaynebay"
1,3,1663142404387149,1.0,Miami's Community Newspapers,"Michael Miller chats with Manny Cid, Senior Advisor for Economic Opportunity at Miami-Dade County, about Strive305, community growth, and the future of economic development.

For more shows, go to: www.communitynewspapers.com/cnewstv

ABOUT US:

Miami Community Newspapers is your go-to source for Miami community news, offering daily updates, podcasts, and multimedia content. Covering local events, business updates, and lifestyle features across Miami-Dade County, our family-owned media company publishes a variety of neighborhood publications both online and in print. Explore Miami’s culture through our exclusive community podcasts, magazines, and newsletters.

#thatscommunitynews #communitynewspapers #miamidade #miamidadecounty #thatscommunity #miamicommunitynews #coralgables #palmettobay #southmiami #doral #aventura #pinecrest #kendall #brickell"
1,4,1276101330714359,1.0,Miami's Community Newspapers,"Business in Black: Host Bill Diggs speaks with Trina Harris, CEO of Touching Miami with Love.

To learn more, visit: www.touchingmiamiwithlove.org

For more news, be sure to go to www.communitynewspapers.com

ABOUT US:

Miami Community Newspapers is your go-to source for Miami community news, offering daily updates, podcasts, and multimedia content. Covering local events, business updates, and lifestyle features across Miami-Dade County, our family-owned media company publishes a variety of neighborhood publications both online and in print. Explore Miami’s culture through our exclusive community podcasts, magazines, and newsletters.

#thatscommunitynews #communitynewspapers #miamidade #miamidadecounty #thatscommunity #miamicommunitynews #coralgables #palmettobay #southmiami #doral #aventura #pinecrest #kendall #broward #biscaynebay"
1,5,746959031677296,1.0,Miami's Community Newspapers,"Join host Mr. Harold Ford in this insightful episode with guest Professor H. T. (Harold T.) Smith of Florida International University. Professor Smith, a veteran trial lawyer, civil rights leader, and founding director of FIU Law’s Trial Advocacy Program, shares his experiences including leading the “Quiet Riot” boycott in Miami, his journey in legal advocacy, and thoughts on contemporary civil rights issues.

Listen in as they explore Professor Smith’s work, the lessons he’s learned, and advice for activists, students, and anyone interested in the ongoing struggle for equality and justice.

For more shows, visit: www.communitynewspapers.com/cnewstv

ABOUT US:

Miami Community Newspapers is your go-to source for Miami community news, offering daily updates, podcasts, and multimedia content. Covering local events, business updates, and lifestyle features across Miami-Dade County, our family-owned media company publishes a variety of neighborhood publications both online and in print. Explore Miami’s culture through our exclusive community podcasts, magazines, and newsletters.

#thatscommunitynews #communitynewspapers #miamidade #miamidadecounty #thatscommunity #miamicommunitynews #coralgables #palmettobay #southmiami #doral #aventura #pinecrest #kendall #brickell"
