ad_archive_id,ad_text,lda_topic_keywords,bert_topic_keywords,llm_theme_theme,llm_theme_summ,lda_keywords_llm_truth,bert_keywords_llm_truth,llm_theme_llm_truth,llm_summ_llm_truth,lda_keywords_human_truth,bert_keywords_human_truth,llm_theme_human_truth,llm_summ_human_truth
718223234007051,🛑🚨🛑🚨Protecting the Endangerment Finding = Protecting Children's Health! Moms across the country share what rolling back this foundational protection for regulating climate emissions means to them. Listen in and then tell EPA to do its job and keep cutting climate pollution!,"american, job, economy, america, michigan",,"**""Climate crisis advocacy""**",Clean air advocacy,No,Yes,Yes,Yes,FALSE,FALSE,TRUE,FALSE
1228541608145723,"Stop Kamala's Radical Plan for America Before It's Too Late

Kamala Harris is dangerously liberal, and her extreme policies threaten to fundamentally weaken our nation. Under her leadership, America could face devastating consequences: higher taxes, lenient crime policies, and an alarming erosion of our freedoms. Harris's radical agenda includes fighting to set murderers free, embracing the disastrous ""Bidenomics"" that dismisses rising costs, and imposing more taxes on the middle class under the guise of ""fair share."" She advocates for abolishing borders, reviving the Green New Deal, and granting freedom to individuals involved in violent behavior—what she calls ""ending wrongheaded thinking"" that more police means safer communities. Harris also seeks to eliminate private health insurance and extend Social Security and Medicare benefits to illegal aliens. The future of our country is at stake—don’t let Kamala Harris lead America down this dangerous path.  https://kamala2024policies.com/","american, job, economy, america, michigan","kamala, kamala harris, harris, fracking, fighter, abolishing, ban fracking, vote harris, patsy, liberal","**""Anti-Harris energy attack""**",Anti-Harris energy attack,Yes,No,Yes,Yes,FALSE,FALSE,TRUE,TRUE
1499605261479052,"Conduct undergraduate research using next-gen DNA sequencing—aboard a sailing research vessel in the Sargasso Sea. Present your work to scientists and policymakers during an end of semester symposium in Woods Hole, MA.","de, la, el, en, e","ocean, coral, marine, absorbing, currents, marine life, coral reefs, reefs, oceans, protect ocean","**""Ocean conservation call""**",Ocean conservation call,No,No,No,No,FALSE,FALSE,FALSE,FALSE
896143312482283,"Governor Whitmer: The people working in the Michigan Department of Corrections facilities are demanding your attention.
—————————————-
The statics being reported about the Michigan Department of Corrections are misleading at best. It’s time to show the REAL numbers and hear the REAL voices that have to endure this dangerous job which is at a critical point. 
As your State Representative in Northern Michigan, I’m going to bring your voice to Lansing in a whole new way.
👉I ask you to please get out and VOTE THIS TUESDAY to keep me in this fight!","one, people, thing, get, u","michigan, michiganders, dte, whitmer, michigan clean, ann arbor, lansing, energy michigan, jobs michigan, arbor","**""Local civic engagement""**",Pro-childcare candidates,No,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE
1087755083103907,"One of the things I love about singing this song by Rabbi David Zeller is that as we sing the words “I am alive,” the tune can feel mournful and aching in its celebration of aliveness. 

So I have to wonder, what is aliveness if not to include the great sorrows and aches of the heart and body? What is aliveness if not to include the pain of the world around us? What is aliveness if not to include death and destruction? 

As the song asks “And who is this aliveness that I am?” - I have to ask, aren’t we, too, blessed and holy by the painful magnitude of it all? “Is it not the blessed holy one?” Aren’t we created in the image of the whole? Do we trust ourselves to hold the whole, to be the whole, to accept this greatness? 

My heart goes out to all of you hurting now - whether in grief for the fires, the wars, the hostages, the ceasefire, the impending leadership of America, every country and its craziness, climate change, the future, your children, our children- and all the other reasons you want to delete this instagram app asap. All of this aliveness that feels like too much. 

My heart goes out to you. I pray we can always find a way to sing through this grief, to sing a pathway through the dark. 

From my aching heart, to yours. ❤️‍🩹","one, people, thing, get, u",,"**""Climate crisis advocacy""**",Pro-forest climate action,No,Yes,No,No,FALSE,FALSE,TRUE,TRUE
1053756599549234,"Grateful for federal support in North Carolina! Thanks to bipartisan efforts, our housing and commercial sectors are thriving. Here's to continued growth and community building! 🏡🌆 #NorthCarolina #BipartisanSupport","sustainable, initiative, committed, community, resource",,"**""Pro-infrastructure investment""**",Pro-infrastructure investment,No,No,No,No,FALSE,FALSE,TRUE,FALSE
586149607698863,"Support Sonola Segun’s Recycling Initiative for a Sustainable Future
https://gofund.me/8bd729e2

Hello, my name is Sonola Segun, a passionate public health graduate living with sickle cell disease. Despite facing numerous health challenges, financial struggles, and personal losses, I remain committed to making a positive impact on public health and environmental sustainability.

Why This Recycling Business Matters

Living with sickle cell disease has shown me how environmental factors—like pollution and poor waste management—can worsen chronic health conditions. A cleaner, healthier environment isn’t just a luxury; it’s essential. That’s why I’m launching a recycling business focused on:

Reducing waste

Educating communities about recycling and sustainability

Promoting better waste management practices

What I’ve Achieved So Far

I’ve already secured:

Permits & Licenses

Business Registration

Collection Containers

Sorting Equipment

Educational Flyers & Training Materials

However, I need your support to take the final steps and make this vision a reality.

What Your Support Will Fund

To launch effectively, I need help with:

1. Manual Sorting Costs: $390

2. Shredders: $3,000

3. Truck/Van for Transportation: $2,000

Total Goal: $5,390

The Impact of Your Contribution

Your donation will:

Create local jobs and boost the economy

Raise awareness about recycling and public health

Improve waste management practices

Reduce environmental damage caused by poor waste disposal

Join Me in Building a Greener Future

Every contribution, no matter how small, brings us closer to a cleaner, healthier world. Together, we can create an initiative that benefits public health, the environment, and future generations.

Thank you for your support and belief in this mission.

Sincerely,
Sonola Segun
Public Health Advocate & Sustainability Entrepreneur

@[409775382063100:69:GofundMe and Fundraising campaigns/Sharing and Receiving Donation] @[100076010047236:2048:CFI Group Arabic] @[1325131591574313:69:GoFundMe Share And Support] @[1500204146692093:69:GoFundMe Money Donations] #indiegogo #gofundme #spotfund #FreePalestine #usa #kickstarter #GazaGenocide #chuffed #Rusia #australia #mexico @[100026251867352:2048:Tae White] #allnations","sustainable, initiative, committed, community, resource","food waste, composting, compost, waste, food scraps, scraps, landfills, food, nutrient rich, recycling","**""Pro-recycling advocacy""**",Pro-recycling advocacy,Yes,No,Yes,Yes,FALSE,FALSE,TRUE,FALSE
621447447265755,"Hoosier communities are benefiting from unleashing America’s energy dominance:  
 
“So that tax revenue’s coming in, and it’s helping everyone in the community: the local townships, the fire and safety, the libraries, the schools, and the local units.” - Steve B., White County, IN Commissioner","county, project, revenue, local, commissioner","indiana, hoosier, hoosiers, indiana energy, homegrown hoosier, 2048 indiana, hoosier state, indiana conservation, energy mix, homegrown","**""Pro-infrastructure investment""**",Pro-infrastructure investment,Yes,Yes,Yes,No,FALSE,TRUE,TRUE,TRUE
360745056975060,"Time & time again we see how most of our elected officials continue to fail at protecting our health & safety, which is why we need YOUR help to create the world that we want to live in. For more information on how to get involved, click the link in our bio to our landing page to sign up to be involved in upcoming rulemakings and engagement opportunities 🪴✨

#environment #climate #legislation #policy #environment #climatecrisis #community #love #joy #resilence #pollution #solutions #action #hope #climatecrisis #denver #denvercolorado","community, hear, training, youth, town",,"**""Public climate input""**",Clean air advocacy,Yes,Yes,Yes,Yes,FALSE,FALSE,TRUE,FALSE
2817214565122035,"“We’re the third fastest warming city in the nation here in Tucson, and Phoenix is fourth”","read, good, http, mountain, oregon",,"**""Climate crisis advocacy""**",Pro-infrastructure investment,No,No,No,No,FALSE,FALSE,TRUE,TRUE
1056401179928328,"A strong majority of Alaskans support using state and federal dollars to develop affordable, local energy.","energy, clean, power, support, job","alaska, alaska energy, alaskans, railbelt, alaska future, kenai, kenai peninsula, buildalaska, mary, buildalaska org","**""Pro-infrastructure investment""**",Pro-infrastructure investment,Yes,No,Yes,Yes,FALSE,TRUE,TRUE,TRUE
